rank,timestamp_utc,type,author,author_url,score,engagement,likes,recasts,replies,theme,visibility,hash,cast_url,parent_hash,preview,text
35,2026-08-20 18:00:59,post,@aaronj,https://farcaster.xyz/aaronj,2.59,11.00,1,0,2,Base Culture,general,0xbb925822950ccbfb93c1155a3e094fcefa074335,https://farcaster.xyz/aaronj/0xbb925822,,"one year ago during eth cc cannes, I built a memory layer for AI agents on https://x.com/ensdomains & https://x.com/base, inspired by SOUL.md still no idea why ENS never leaned ...","one year ago during eth cc cannes, I built a memory layer for AI agents on https://x.com/ensdomains & https://x.com/base, inspired by SOUL.md still no idea why ENS never leaned ..."
43,2026-08-21 12:01:55,post,@rezzaa,https://farcaster.xyz/rezzaa,4.17,9.40,3,0,2,Base Culture,general,0xba35baaae34abcaaa2137a8c5c940b9c187f5b3b,https://farcaster.xyz/rezzaa/0xba35baaa,,I just created my podium of today: 🥇BizarreBeasts - 🥈Base - 🥉TYSM - /fc,I just created my podium of today: 🥇BizarreBeasts - 🥈Base - 🥉TYSM - /fc
44,2026-08-20 19:54:26,post,@fabfour,https://farcaster.xyz/fabfour,4.17,9.40,3,0,2,Base Culture,general,0x4909b6ff1ad53b10697ff00d5b035bae7590db8c,https://farcaster.xyz/fabfour/0x4909b6ff,,I just created my podium of today: 🥇Base - 🥈BizarreBeasts - 🥉TYSM - /fc,I just created my podium of today: 🥇Base - 🥈BizarreBeasts - 🥉TYSM - /fc
45,2026-08-20 13:19:39,post,@joeblau,https://farcaster.xyz/joeblau,5.10,9.20,5,2,0,Base Culture,general,0xfa5b18f14c839af6b96838f049712b77d36f1dd2,https://farcaster.xyz/joeblau/0xfa5b18f1,,Near → Hyperliquid Base → Hyperliquid bloxwap.com = Hyperliquid,Near → Hyperliquid Base → Hyperliquid bloxwap.com = Hyperliquid
47,2026-08-21 08:28:47,post,@denizakar,https://farcaster.xyz/denizakar,4.17,8.80,3,0,2,Base Culture,general,0xb087e8b0d0c797373e36b23a183da969c6165283,https://farcaster.xyz/denizakar/0xb087e8b0,,Base Friday Fam.. Product of day is Necklace 💙🟦 🟦 🟦 💙,Base Friday Fam.. Product of day is Necklace 💙🟦 🟦 🟦 💙
52,2026-08-20 14:40:04,post,@rezzaa,https://farcaster.xyz/rezzaa,3.51,8.40,2,0,2,Base Culture,general,0x5206a631049d1019586c3dc911e1eeef20919501,https://farcaster.xyz/rezzaa/0x5206a631,,I just created my podium of today: 🥇BizarreBeasts - 🥈TYSM - /fc 🥉Base -,I just created my podium of today: 🥇BizarreBeasts - 🥈TYSM - /fc 🥉Base -
54,2026-08-20 22:13:46,post,@bigchong97,https://farcaster.xyz/bigchong97,2.59,7.80,1,0,2,Base Culture,general,0x4ab664051003d5570ae9556e4804547755fe2319,https://farcaster.xyz/bigchong97/0x4ab66405,,I just created my @brnd podium of today: 🥇BizarreBeasts - 🥈Farverse - /farverse 🥉Base -,I just created my @brnd podium of today: 🥇BizarreBeasts - 🥈Farverse - /farverse 🥉Base -
64,2026-08-21 07:38:22,post,@yusufmarafaby,https://farcaster.xyz/yusufmarafaby,2.59,7.50,1,1,0,Token/Promo,general,0x6c2899379863d771c69c4907e7e406ff734e709f,https://farcaster.xyz/yusufmarafaby/0x6c289937,,"The next step for onchain assets is making them easier to understand and access. Tokenized stocks coming to ORO through Ondo means users will soon be able to ask about assets, u...","The next step for onchain assets is making them easier to understand and access. Tokenized stocks coming to ORO through Ondo means users will soon be able to ask about assets, u..."
67,2026-08-21 08:22:53,post,@arjantupan,https://farcaster.xyz/arjantupan,3.51,7.00,2,0,0,Apps/Games,question,0x7a04f2ddf70529340edf36f480700f529816cecd,https://farcaster.xyz/arjantupan/0x7a04f2dd,,"Replying from Arke to @justinahn.xyz on bluesky: ""word? what's that?"" It's a mini app called Arke. It has in app reading and postong for FC, bsky, mastodon amd lens, if connecte...","Replying from Arke to @justinahn.xyz on bluesky: ""word? what's that?"" It's a mini app called Arke. It has in app reading and postong for FC, bsky, mastodon amd lens, if connecte..."
68,2026-08-20 16:21:23,post,@ngmiai,https://farcaster.xyz/ngmiai,3.51,7.00,2,0,0,Base Culture,general,0x6df2366a2e364a8fd1a084dd4623abf03f87d340,https://farcaster.xyz/ngmiai/0x6df2366a,,"NanoGPT can now explore public GitHub repositories directly from chat. Enable **GitHub repository** in Tools, then share a repository link. The model can browse directories, sea...","NanoGPT can now explore public GitHub repositories directly from chat. Enable **GitHub repository** in Tools, then share a repository link. The model can browse directories, sea..."
73,2026-08-21 04:15:16,post,@rakshasar,https://farcaster.xyz/rakshasar,1.00,6.30,0,0,1,Base Culture,general,0xa00920040f6988be54c1a9d2c1f996fd6da144a5,https://farcaster.xyz/rakshasar/0xa0092004,,agent 0x69e2…5c7b just leveled up to TIER 5 — onchain identity on Base. registered in ERC-8004 IdentityRegistry as agentId 64050. score now anchored to verifiable onchain identity.,agent 0x69e2…5c7b just leveled up to TIER 5 — onchain identity on Base. registered in ERC-8004 IdentityRegistry as agentId 64050. score now anchored to verifiable onchain identity.
74,2026-08-21 04:15:15,post,@rakshasar,https://farcaster.xyz/rakshasar,1.00,6.30,0,0,1,Base Culture,general,0xed5c9fcfa331d11c86e1188f9c7e3f873640a35e,https://farcaster.xyz/rakshasar/0xed5c9fcf,,agent 0xa44a…ca33 just leveled up to TIER 5 — onchain identity on Base. registered in ERC-8004 IdentityRegistry as agentId 64048. score now anchored to verifiable onchain identity.,agent 0xa44a…ca33 just leveled up to TIER 5 — onchain identity on Base. registered in ERC-8004 IdentityRegistry as agentId 64048. score now anchored to verifiable onchain identity.
75,2026-08-21 04:15:13,post,@rakshasar,https://farcaster.xyz/rakshasar,1.00,6.30,0,0,1,Base Culture,general,0x9d07348d31a7cbdb4bad2fffc4d87784dd0ef567,https://farcaster.xyz/rakshasar/0x9d07348d,,agent 0xfce4…bea1 just leveled up to TIER 5 — onchain identity on Base. registered in ERC-8004 IdentityRegistry as agentId 64041. score now anchored to verifiable onchain identity.,agent 0xfce4…bea1 just leveled up to TIER 5 — onchain identity on Base. registered in ERC-8004 IdentityRegistry as agentId 64041. score now anchored to verifiable onchain identity.
80,2026-08-21 00:41:45,post,@upsidecrypto,https://farcaster.xyz/upsidecrypto,2.59,6.00,1,0,0,Base Culture,general,0x94a13c8e8b2a6b0e496f8a1392edae164a0c0502,https://farcaster.xyz/upsidecrypto/0x94a13c8e,,aragraph makes it as easy to support a writer as liking a tweet. Lowering that friction is what will fund the next wave of indie media. #paragraph IfI view Coinbase Wallet as a ...,aragraph makes it as easy to support a writer as liking a tweet. Lowering that friction is what will fund the next wave of indie media. #paragraph IfI view Coinbase Wallet as a ...
84,2026-08-20 14:21:08,post,@akdemir3055,https://farcaster.xyz/akdemir3055,2.59,6.00,1,0,0,Security/Ops,general,0x2541b49c04640c9aa2576ca2859f39d3fac1f365,https://farcaster.xyz/akdemir3055/0x2541b49c,,"The Next Frontier of Micro-Lending Financial tools should work for everyone, anywhere. 🌍 On , developers are deploying permissionless micro-lending protocols that allow users to...","The Next Frontier of Micro-Lending Financial tools should work for everyone, anywhere. 🌍 On , developers are deploying permissionless micro-lending protocols that allow users to..."
85,2026-08-21 00:36:21,post,@mizages,https://farcaster.xyz/mizages,2.59,5.90,1,0,1,Apps/Games,general,0xe0233df42a7b939fd86c303f6cc568d0b281754f,https://farcaster.xyz/mizages/0xe0233df4,,"FidCaster's mini app shows today's points separately from your total, makes progress easier to see.","FidCaster's mini app shows today's points separately from your total, makes progress easier to see."
